Speciality|Service
Ophthalmologist|Corneo-Scleral Tear Repair with iris repair(Iridodialysis)
Ophthalmologist|Symblepharon Release
Ophthalmologist|Symblepharon Release + AMG with Glue
Ophthalmologist|Symblepharon Release with MMG
Ophthalmologist|Foreign body removal from anterior chamber
Ophthalmologist|Foreign body removal from cornea
Ophthalmologist|C3F8 GasInjection in anterior chamber
Ophthalmologist|Corneal Tattooing – Surface
Ophthalmologist|Corneal Tattooing Lamellar
Ophthalmologist|Anterior Stromal Puncture with BCL
Ophthalmologist|Tissue Adhesive with BCL (TABCL)
Ophthalmologist|EDTA Chelation
Ophthalmologist|Injection Intracameral/Intrastromal (excluding cost of Inj.)
Ophthalmologist|Supratarsal Injection (excluding cost of Injection)
Ophthalmologist|Punctal Cautery
Ophthalmologist|Punctal Plugs
Ophthalmologist|Trabeculectomy (Trab)
Ophthalmologist|MP3 Laser for Glaucoma
Ophthalmologist|Filtering Surgery with Ologen
Ophthalmologist|Ahmed Glaucoma valve surgery
Ophthalmologist|Glaucoma filtration device (Express) Implantation
Ophthalmologist|Trabeculectomy with Trabeculotomy under GA
Ophthalmologist|Phacotrabeculectomy with AcrySP IOL
Ophthalmologist|Phacotrabeculectomy with AcrysofIQ IOL
Ophthalmologist|Cyclocryotherapy
Ophthalmologist|Examination under anaesthesia (EUA) (including GA Charges)
Ophthalmologist|Pars Plana Vitrectomy with MIVS (23/25G)
Ophthalmologist|Pars Plana Vitrectomy with MIVS (23/25G)+FGE
Ophthalmologist|Pars Plana Vitrectomy with MIVS (23/25G)+FGE+ERM Peeling
Ophthalmologist|Pars Plana Vitrectomy with MIVS (23/25G)+FGE+ERM Peeling+ILM peeling
Ophthalmologist|Pars Plana Vitrectomy with MIVS (23/25G)+FGE+ERM Peeling+ILM peeling+Scleral Buckle+ Cryo
Ophthalmologist|Pars Plana Vitrectomy with MIVS (23g or 25 gPPV)+FGE+ ERM peeling+ILM peeling+Choroidal Drainage
Ophthalmologist|Silicon Oil Removal
Ophthalmologist|Silicon Oil Removal+ERM PEELING
Ophthalmologist|Silicon Oil Removal+ ERM Peeling +C3F8
Ophthalmologist|Scleral Buckle Removal
Ophthalmologist|Scleral Buckle placement
Ophthalmologist|Pneumoretinopexy
Ophthalmologist|Membrane Surgery
Ophthalmologist|Removal of IOL
Ophthalmologist|Phacofragmentation (Dropped Nucleus)
Ophthalmologist|Endolaser
Ophthalmologist|Cryoretinopexy
Ophthalmologist|Inj.Intravitreal(excluding cost of Inj.)
Ophthalmologist|Silicon Oil Injection
Ophthalmologist|SubretinalInjection
Ophthalmologist|IOFB Removal
Ophthalmologist|Removal of sub-retinal gliosis band
Ophthalmologist|Sub-retinal Hemorrhage Removal
Ophthalmologist|Membranectomy
Ophthalmologist|Fluid Gas Exchange(FGE)
Ophthalmologist|Retinectomy
Ophthalmologist|Supra Choroidal Drainage
Ophthalmologist|Vitreous Biopsy
Ophthalmologist|AC Wash
Ophthalmologist|Belt Buckle
Ophthalmologist|Gas Injection (Retina)
Ophthalmologist|Squint (1 or 2 muscles) under LA
Ophthalmologist|Squint (3 muscles) under LA
Ophthalmologist|Squint (4 muscles) under LA
Ophthalmologist|Squint (1 or 2 muscles) under GA (G.A included)
Ophthalmologist|Squint (3 muscles) under GA (G.A included)
Ophthalmologist|Squint (4 muscles) under GA (G.A included)
Ophthalmologist|Single Chalazion I & C per eye
Ophthalmologist|Multiple chalazia one lid/per eye I & C
Ophthalmologist|Multiple Chalazia in both upper & lower lid/ per eye
Ophthalmologist|Intralesional Steriod
Ophthalmologist|Lazy-T Procedure under L.A
Ophthalmologist|Ectropion
Ophthalmologist|Ptosis surgery with Aurosling
Ophthalmologist|Ptosis surgery with BD sling
Ophthalmologist|Ptosis surgery with LPS resection
Ophthalmologist|Ptosis surgery with FasanellaServat
Ophthalmologist|Ptosis Surgery LPS Plication
Ophthalmologist|Lid Retraction surgery (LPS Recession)
Ophthalmologist|Mullerectomy
Ophthalmologist|Syringing & probing under G. A
Ophthalmologist|Enucleation
Ophthalmologist|Enucleation with Implant
Ophthalmologist|Enucleation Dermis Fat Graft+ FFS
Ophthalmologist|Enucleation with Porous Implant
Ophthalmologist|Enucleation with Silicone Implant
Ophthalmologist|Secondary Post Enucleation Implant
Ophthalmologist|Socket Reconstruction
Ophthalmologist|Exenteration
Ophthalmologist|Exenteration with skin graft
Ophthalmologist|Evisceration
Ophthalmologist|Evisceration under G.A
Ophthalmologist|Evisceration with Implant
Ophthalmologist|Dacryocystorhinostomy (DCR)
Ophthalmologist|DCR with Intubation
Ophthalmologist|Canalicular DCR
Ophthalmologist|DCR with Jones Tube
Ophthalmologist|Fistulectomy
Ophthalmologist|DCR-Paediatric under G. A (including GA charges)
Ophthalmologist|DCT (Dacryocystectomy)
Ophthalmologist|Sebaceous Cyst excision biopsy
Ophthalmologist|Dermoid Cyst (Orbital) excision biopsy
Ophthalmologist|Conjunctival Cyst removal -Minor
Ophthalmologist|Conjunctival Cyst removal -Major
Ophthalmologist|Excision Biopsy (< 15 Min)
Ophthalmologist|Excision Biopsy (> 15 Min)
Ophthalmologist|FNAC-Fine Needle Aspiration Biopsy
Ophthalmologist|Incisional Biopsy
Ophthalmologist|Mass Excision
Ophthalmologist|XanthelasmaExcision
Ophthalmologist|Wart Excision
Ophthalmologist|Wart Excision Multiple
Ophthalmologist|Skin Mole Removal
Ophthalmologist|Abscess Drainage(< 15Min Procedure)
Ophthalmologist|Abscess Drainage(>15 Min Procedure)
Ophthalmologist|Orbital Abscess I and D
Ophthalmologist|Tarsorrhaphy - Permanent
Ophthalmologist|Tarsorrhaphy - Temporary
Ophthalmologist|Tarsorrhaphy Release
Ophthalmologist|Lateral Tarsal Sling/ Strip
Ophthalmologist|Medical Canthoplasty
Ophthalmologist|Lateral Canthoplasty
Ophthalmologist|Telecanthus Correction
Ophthalmologist|Cantholysis And Canthotomy
Ophthalmologist|Blepharoplasty Upper Eye Lid
Ophthalmologist|Blepharoplasty Lower Eye Lid
Ophthalmologist|Eyelid Reconstruction – 15 minutes
Ophthalmologist|Eyelid Reconstruction- 30 minutes
Ophthalmologist|Eye Lid Reconstruction & Scar Revision
Ophthalmologist|Eye Lid Reconstruction with Z plasty
Ophthalmologist|Bucket Handle Procedure/Cutler Beard Stage I &I1
Ophthalmologist|Cheek Rotation Flap
Ophthalmologist|Orbicularis Myectomy
Ophthalmologist|Scleral Graft for Lid reconstruction
Ophthalmologist|Cartilage Graft for Lid reconstruction
Ophthalmologist|Lid Tumour surgery
Ophthalmologist|Lid Tear Repair (anterior lamella only)
Ophthalmologist|Lid Tear Repair (anterior + posterior lamella)
Ophthalmologist|Fornix Formation
Ophthalmologist|Lid Coloboma Repair
Ophthalmologist|Gunderson Flap
Ophthalmologist|Skin Grafting
Ophthalmologist|Dermolipoma Excision
Ophthalmologist|Prolapsed orbital fat removal
Ophthalmologist|Conjunctival Tumour Excision + Cryo
Ophthalmologist|Conjunctival Tumour Excision + Cryo + AMG
Ophthalmologist|Tumour Debulking
Ophthalmologist|Lateral Orbitotomy
Ophthalmologist|Orbital Decompression Cyst Excision
Ophthalmologist|Orbital Decompression (Medial + Lateral)
Ophthalmologist|Orbital Decompression (medial+ Lateral + Floor)
Ophthalmologist|Orbital Surgery- Fracture Repair + Implant
Ophthalmologist|Orbital Surgery- Secondary Implant/ Exchange
Ophthalmologist|Punctoplasty (Per Eye)
Ophthalmologist|Epilation Manual
Ophthalmologist|Electrolysis (Electroepilation/ Radioablation) Per Sitting
Ophthalmologist|Electrolysis (Electroepilation/ Radioablation) both eye
Ophthalmologist|Inj. Botox
Ophthalmologist|Three Snip
Ophthalmologist|Canalicular Repair
Ophthalmologist|Canalicular Repair with Mini Monoka
Ophthalmologist|Browpexy (Per Eye)
Ophthalmologist|Brow Ptosis repair
Ophthalmologist|Artifical eye/ Ocular Prosthesis
Ophthalmologist|Suture removal(surgery done elsewhere)
Ophthalmologist|AC wash (surgery done elsewhere)
Ophthalmologist|Surgical peripheral Iridectomy
Ophthalmologist|Pupilloplasty
Ophthalmologist|Aniridia Ring Implant per eye
Ophthalmologist|Yag Laser Capsulotomy per eye
Ophthalmologist|Ultrasound A-Scan
Ophthalmologist|Optical biometry (Lenstar)
Ophthalmologist|Yag –Peripheral Iridotomy (Yag PI)per eye
Ophthalmologist|Visual Field Analysis (Perimetry) (Both Eyes)
Ophthalmologist|Diurnal Variation (Both Eyes)
Ophthalmologist|Applanation Tonometry(Both Eyes)
Ophthalmologist|Pachymetry (Both Eyes)
Ophthalmologist|Gonioscopy (Both Eyes)
Ophthalmologist|OCT (RNFL) (Both Eyes)
Ophthalmologist|Inj. Mannitol 20%
Ophthalmologist|Glaucoma Investigation Package (VFA+OCT+Gonio+Pachy+AT) (7350-1350)
Ophthalmologist|Funds Photo
Ophthalmologist|Optical Coherence Tomography (OCT) (Both eyes)
Ophthalmologist|( Disc )
Ophthalmologist|( Macula)
Ophthalmologist|Combined Optical Coherence Tomography (OCT) (Both eyes)   (Macula & Disc)
Ophthalmologist|Angiography & OCT
Ophthalmologist|Fundus Fluorescein Angiography (FFA)(Both eyes)
Ophthalmologist|Ultrasound (B-Scan) per eye
Ophthalmologist|Scatter Laser
Ophthalmologist|Retina Laser Photocoagulation 1 quadrant
Ophthalmologist|Retina Laser Photocoagulation 2 quadrant
Ophthalmologist|Retina Laser Photocoagulation 3 quadrant
Ophthalmologist|Retina Laser Photocoagulation 4 quadrant
Ophthalmologist|PRP LaserPhotocoagulation per sitting
Ophthalmologist|PRP Laser (3-4 Sitting Package) Photocoagulation
Ophthalmologist|Focal Laser Photocoagulation
Ophthalmologist|Grid Laser Photocoagulation
Ophthalmologist|Barrage Laser Photocoagulation/ Laser Prophylaxis 1 quadrant
Ophthalmologist|Barrage Laser Photocoagulation/ Laser Prophylaxis 2 quadrant
Ophthalmologist|Barrage Laser Photocoagulation/ Laser Prophylaxis 3 quadrant
Ophthalmologist|Barrage Laser Photocoagulation/ Laser Prophylaxis 4 quadrant
Ophthalmologist|Eye Exercise synaptophore
Ophthalmologist|Pleoptics/Haidinger Brushes
Ayurveda|Consultation Ayurveda
Ayurveda|PIZHICHIL
Ayurveda|NAVARAKIZHI
Ayurveda|DHARA
Ayurveda|DASHAMOOLA KSHEERA DHARA Treatment
Ayurveda|SARVANGA KASHAYA DHARA
Ayurveda|VASTHI
Ayurveda|SIROVASTHI
Ayurveda|UDVARTHANAM
Ayurveda|ABHYANGAM
Ayurveda|NASYAM
Ayurveda|SNEHAPANAM
Ayurveda|KIZHI
Ayurveda|DHANYAMLA DHARA
Ayurveda|YONI PRAKSHALANAM
Ayurveda|KATIVASTHI
Ayurveda|UROVASTHI
Ayurveda|KSHEERADHOOMAM
Ayurveda|THALAM
Ayurveda|LEPANAM
Ayurveda|MARMA Massage
Ayurveda|LEKHANEEYAM
Ayurveda|KARNAPOORNAM
Ayurveda|THARPANAM
Ayurveda|MUKHALEPAM
Ayurveda|Medicated Steam Bath
Ayurveda|Panchkarma
ENT Specialist|ENT Consultation
ENT Specialist|Nasal Endoscopy
ENT Specialist|Ear Micro Surgery
ENT Specialist|Tympanoplasty
ENT Specialist|Mastoidectomy
ENT Specialist|Stapedotomy for otosclerosis.
ENT Specialist|Excision of osteoma ear canal
ENT Specialist|Debridement for impacted wax and keratosis obturans.
ENT Specialist|Canaloplasty
ENT Specialist|Endoscopic Sinus Surgery
ENT Specialist|Snoring Surgery
ENT Specialist|Continuous positive airway pressure (CPAP)
ENT Specialist|Somnoplasty
ENT Specialist|Tonsillectomy and adenoidectomy
ENT Specialist|Palate surgery
ENT Specialist|Upper airway stimulator
ENT Specialist|Voice Surgery
ENT Specialist|Hemi thyroidectomy, or lobectomy.
ENT Specialist|Isthmusectomy
ENT Specialist|Total thyroidectomy
ENT Specialist|Salivary Gland Surgery
ENT Specialist|Parotidectomy
ENT Specialist|Submandibular Gland Excision
ENT Specialist|Sublingual Gland Excision
ENT Specialist|Minor Salivary Gland Cancer Surgery
ENT Specialist|Lymph Node Removal
ENT Specialist|Recovery from Salivary Gland Surgery
ENT Specialist|Neck Tumor
ENT Specialist|Ear Drum Repair
ENT Specialist|Myringoplasty
ENT Specialist|Tympanoplasty
ENT Specialist|Ossiculoplasty
ENT Specialist|Vocal Cord Treatment
ENT Specialist|Laryngoscopy
ENT Specialist|Laryngeal electromyography
ENT Specialist|Blood tests and scans
ENT Specialist|Bulk injection
ENT Specialist|Structural implants
ENT Specialist|Vocal cord repositioning
ENT Specialist|Replacing the damaged nerve (innervation)
ENT Specialist|Tracheotomy
ENT Specialist|Ear Reconstructive Treatment
ENT Specialist|Ear Lobe Correction
ENT Specialist|split earlobe repair
ENT Specialist|stretched earlobe repair
ENT Specialist|Reconstructive Middle Ear Surgery
ENT Specialist|Congenital Ear Problem Treatment
ENT Specialist|Eardrum Rupture Treatment
ENT Specialist|Nosebleed Treatment
ENT Specialist|Septoplasty
ENT Specialist|Nasal Septum Surgery
ENT Specialist|Orbital & Optic Nerve Decompression
ENT Specialist|Surgery Of The Facial Nerve
ENT Specialist|Sinusitis Treatment
ENT Specialist|Frontal Sinus Surgery
ENT Specialist|Sino nasal Malignancies
ENT Specialist|Functional Endoscopic Sinus Surgery - FESS
ENT Specialist|Tongue Tie Release Surgery
ENT Specialist|Rehabilitation labyrinthine
ENT Specialist|Fracture Nasal Bone Correction
ENT Specialist|Vertigo Treatment
ENT Specialist|Cochlear Implants
ENT Specialist|Immunotherapy
ENT Specialist|Foreign Body Removal Ear
ENT Specialist|Foreign Body Removal Nose
Gastroenterologist|Barium Swallow
Gastroenterologist|barium enema
Gastroenterologist|upper gastrointestinal series
Gastroenterologist|upper GI endoscopy
Gastroenterologist|Endoscopic retrograde cholangiopancreatography (ERCP)
Gastroenterologist|pancreas scan
Gastroenterologist|liver scan
Gastroenterologist|liver biopsy
Gastroenterologist|Colonoscopy
Gastroenterologist|percutaneous endoscopic gastrostomy (PEG)
Gastroenterologist|sigmoidoscopy
Gastroenterologist|abdominal X-ray
Gastroenterologist|computed tomography (CT)
Gastroenterologist|CT SCAN
Gastroenterologist|liver and biliary tract
Gastroenterologist|abdomen
Gastroenterologist|Pancreas
Gastroenterologist|Laparoscopy
Gastroenterologist|colonoscopy
Gastroenterologist|colectomy
Gastroenterologist|Proctectomy
Gastroenterologist|Bileduct Stone Removal
Gastroenterologist|Stenting
Gastroenterologist|Oseudocyst Drainage
Gastroenterologist|Oesophageal Dilatations
Gastroenterologist|Acalasia Dilatation
Gastroenterologist|Colonic Polypectomies
Gastroenterologist|Variceal Sclerotherapy
Orthopedist|Consultation Orthopedic
Orthopedist|Laminectomy
Orthopedist|Spinal Fusion
Orthopedist|Anterior cruciate ligament reconstruction
Orthopedist|Arthroplasty
Orthopedist|Internal fixation
Orthopedist|Bone grafting
Orthopedist|Allograft
Orthopedist|Tendon Transfer
Orthopedist|Tendon repair surgery
Orthopedist|Arthrodesis(Joint Fusion Surgery)
Orthopedist|Shoulder Replacement
Orthopedist|Reduction
Orthopedist|Synovectomy
Orthopedist|Vertebral augmentation
Orthopedist|Ankle Replacement / Ankle arthoplasty
Orthopedist|Foraminotomy
Orthopedist|Unicompartmental knee arthroplasty
Orthopedist|Triple arthrodesis
Orthopedist|External fixation
Orthopedist|Corpectomy /   Vertebrectomy
Orthopedist|Autotransplantation
Orthopedist|Ostectomy
Orthopedist|Distraction osteogenesis
Orthopedist|Laminotomy
Orthopedist|Brunelli procedure
Orthopedist|Epiphysiodesis
Orthopedist|Brostrom procedure
Orthopedist|Bursectomy
Orthopedist|Ponseti method
Orthopedist|Autograft
Orthopedist|Achilles tendon lengthening (ATL)
Orthopedist|Tenotomy
Orthopedist|Osteotomy
Orthopedist|Fracture Fixation Hand
Orthopedist|Fracture Fixation Legs
Orthopedist|Fracture Fixations shoulders
Orthopedist|Epidural & caudal spinal injections
Orthopedist|Intra articular injections
Orthopedist|Nerve Graft
Orthopedist|Plaster cast
Orthopedist|Synthetic cast
Orthopedist|Cast brace
Orthopedist|Splint (also called a half cast)
Orthopedist|Acute osteomyelitis treatment
Orthopedist|Surgery for an infected bursa
Orthopedist|Surgery for the noninfected bursa
Orthopedist|Fasciotomy
Orthopedist|Limb salvage surgery
Orthopedist|Hip Arthroscopy
Orthopedist|Hip resurfacing procedure
Orthopedist|Knee Arthroscopy
Orthopedist|Hip Arthroscopy
Orthopedist|Shoulder Arthroscopy
Orthopedist|Wrist Arthroscopy
Orthopedist|Spine Arthroscopy
Orthopedist|knee replacement surgery
Aesthetics|Aesthetics consultation
Aesthetics|Hair Transplant
Aesthetics|FUT (Follicular Unit Transplant)
Aesthetics|DHI(Direct Hair Implantation)
Aesthetics|Follicular unit extraction (FUE).
Aesthetics|Body Contouring
Aesthetics|Arm Lift
Aesthetics|Breast Lift
Aesthetics|Body Lifts
Aesthetics|Thigh Lift
Aesthetics|Tummy tuck
Aesthetics|Breast Implants
Aesthetics|Saline breast implants
Aesthetics|Structured saline breast implants
Aesthetics|Silicone breast implants
Aesthetics|Gummy bear breast implants
Aesthetics|Round breast implants
Aesthetics|Smooth breast implants
Aesthetics|Textured breast implants
Aesthetics|Female Genital Rejuvenation
Aesthetics|Labiaplasty
Aesthetics|Clitoral hood reduction
Aesthetics|Labia majoraplasty
Aesthetics|Monsplasty
Aesthetics|Vaginoplasty
Aesthetics|Face Rejuvenation
Aesthetics|Botox
Aesthetics|Fillers
Aesthetics|Nose Reshaping
Aesthetics|Chin, cheek, or jaw reshaping
Aesthetics|Forehead Lift
Aesthetics|Facelift
Aesthetics|Blepharoplasty
Aesthetics|Liposuction
Aesthetics|Buttock Lift
Aesthetics|Dermabrasion/Dermaplaning
Aesthetics|Skin Chemical Peel
Aesthetics|Glycolic Peel
Aesthetics|Lactic Peel
Aesthetics|TCA Peel
Aesthetics|Salicylic Peel
Aesthetics|Jessner’s Peel
Radiologists|X RAY ABDOMEN ERECT
Radiologists|X RAY ABDOMEN SUPINE
Radiologists|X RAY ABDOMEN SUPINE & ERECT
Radiologists|X RAY ANKLE AP (ANTEROPOSTERIOR)
Radiologists|X RAY ANKLE AP (ANTEROPOSTERIOR) & LATERAL
Radiologists|X RAY ANKLE LATERAL
Radiologists|X RAY ANKLE MORTISE
Radiologists|X RAY BASE OF SKULL
Radiologists|X RAY BOTH ANKLE AP & LATERAL VIEWS
Radiologists|X RAY BOTH ANKLE AP VIEW
Radiologists|X RAY BOTH ANKLE LATERAL VIEW
Radiologists|X RAY BOTH ANKLE MORTISE
Radiologists|X RAY BOTH FOOT AP & LATERAL
Radiologists|X RAY BOTH FOREARM AP
Radiologists|X RAY BOTH FOREARM AP & LATERAL
Radiologists|X RAY BOTH HAND AP
Radiologists|X RAY BOTH HEEL AXIAL & LATERAL
Radiologists|X RAY BOTH HEEL-LAT VIEW
Radiologists|X RAY BOTH HIP AP
Radiologists|X RAY BOTH HIP FROG LEG POSITION
Radiologists|X RAY BOTH KNEE A.P. STANDING VIEW
Radiologists|X RAY BOTH KNEE JOINT A.P. / LATERAL VIEWS
Radiologists|X RAY BOTH LEGS AP
Radiologists|X RAY BOTH LEG AP & LATERAL
Radiologists|X RAY BOTH LEG AP & LATERAL (ONLY FOR CHILD)
Radiologists|X RAY BOTH MASTOID LATERAL OBLIQUE
Radiologists|X RAY BOTH NASAL BONE LATERAL
Radiologists|X RAY BOTH S.I. JOINT AP
Radiologists|X RAY BOTH S.I. JOINT OBLIQUE
Radiologists|X RAY BOTH S.I. JOINT PA VIEW
Radiologists|X RAY BOTH SHOULDER AP & AXIAL
Radiologists|X RAY BOTH TM JOINTS CLOSE MOUTH
Radiologists|X RAY BOTH TM JOINTS OPEN MOUTH
Radiologists|X RAY BOTH WRIST AP VIEW
Radiologists|X RAY CERVICAL SPINE  LATERAL
Radiologists|X RAY CERVICAL SPINE  OBLIQUE
Radiologists|X RAY CERVICAL SPINE AP
Radiologists|X RAY CERVICAL SPINE AP & LATERAL
Radiologists|X RAY CERVICAL SPINE AP LATERAL FLEXION & EXTENSION
Radiologists|X RAY CERVICAL SPINE OPEN MOUTH
Radiologists|X RAY CERVICO - DORSAL SPINE AP
Radiologists|X RAY CERVICO - DORSAL SPINE AP & LATERAL
Radiologists|X RAY CERVICO - DORSAL SPINE LATERAL
Radiologists|X RAY CHEST  DECUBITUS
Radiologists|X RAY CHEST  LATERAL
Radiologists|X RAY CHEST  OBLIQUE
Radiologists|X RAY CHEST AP
Radiologists|X RAY CHEST AP & OBLIQUE
Radiologists|X RAY CHEST APICOGRAM
Radiologists|X RAY CHEST PA & LATERAL
Radiologists|X RAY CHEST PA VIEW
Radiologists|X RAY COCCYX AP
Radiologists|X RAY COCCYX AP & LATERAL
Radiologists|X RAY COCCYX LATERAL
Radiologists|X RAY DORSAL SPINE  LATERAL
Radiologists|X RAY DORSAL SPINE AP
Radiologists|X RAY DORSAL SPINE AP & LATERAL
Radiologists|X RAY DORSAL SPINE FLEXION & EXTENSION
Radiologists|X RAY DORSAL SPINE NEUTRAL FLEXION AND EXTENSION
Radiologists|X RAY DORSO - LUMBAR SPINE  LATERAL
Radiologists|X RAY DORSO - LUMBAR SPINE  OBLIQUE
Radiologists|X RAY DORSO - LUMBAR SPINE AP
Radiologists|X RAY DORSO - LUMBAR SPINE AP & LATERAL
Radiologists|X RAY DORSO - LUMBAR SPINE FLEXION & EXTENSION
Radiologists|X RAY HEEL AXIAL / LATERAL
Radiologists|X RAY IVP
Radiologists|X RAY KUB
Radiologists|X RAY LEFT  FOOT LATERAL
Radiologists|X RAY LEFT ARM AP
Radiologists|X RAY LEFT ARM LATERAL
Radiologists|X RAY LEFT ELBOW AP
Radiologists|X RAY LEFT ELBOW AP & LATERAL
Radiologists|X RAY LEFT ELBOW LATERAL
Radiologists|X RAY MCU
Radiologists|X RAY NON-MAGNIFICATION AP & LATERAL VIEW
Radiologists|X RAY ORBIT PA VIEW
Radiologists|X RAY PELVIS WITH BOTH HIP A.P
Radiologists|X RAY PNS WATERS VIEW
Radiologists|X RAY RGU
Radiologists|X RAY RGU + MCU
Radiologists|X RAY RIGHT  ZANCA VIEW
Radiologists|X RAY RIGHT TM JOINT OPEN & CLOSE MOUTH
Radiologists|X RAY RIGHT WRIST  OBLIQUE
Radiologists|X RAY RIGHT WRIST AP
Radiologists|X RAY RIGHT WRIST AP & LATERAL
Radiologists|X RAY RIGHT WRIST AP LATERAL & OBLIQUE
Radiologists|X RAY RIGHT WRIST LATERAL
Radiologists|X RAY SCANOGRAM BOTH LIMBS
Radiologists|X RAY SELLA TURCICA LATERAL
Radiologists|X RAY SKULL  LATERAL
Radiologists|X RAY SKULL AP
Radiologists|X RAY SKULL AP & LAT
Radiologists|X RAY SOFT TISSUE NECK AP
Radiologists|X RAY SOFT TISSUE NECK AP &LATERAL
Radiologists|X RAY SOFT TISSUE NECK LATERAL
Radiologists|X RAY STERNUM  LATERAL
Radiologists|X RAY STERNUM AP
Radiologists|X RAY STERNUM LATERAL & OBLIQUE
Radiologists|X RAY STERNUM OBLIQUE
Radiologists|X RAY T-TUBE CHOLANGIOGRAM
Radiologists|X RAY THIGH AP & LATERAL
Radiologists|X RAY TOWNES VIEW
Radiologists|X RAY WHOLE SPINE  LATERAL
Radiologists|X RAY WHOLE SPINE AP
Radiologists|X RAY WHOLE SPINE AP AND LATERAL
Radiologists|X RAY WHOLE SPINE LATERAL EXTENSION
Radiologists|X RAY WHOLE SPINE LATERAL FLEXION
Radiologists|X RAY WHOLE SPINE LATERAL FLEXION & EXTENSION
Radiologists|X RAY WHOLE SPINE RIGHT & LEFT BENDING
Radiologists|X-RAY LEFT ACROMIOCLAVICULAR JOINT
Radiologists|X-RAY LONG BONE
Radiologists|DOPPLER ABDOMINAL
Radiologists|DOPPLER ARTERIAL - ONE LIMB
Radiologists|DOPPLER ARTERIAL / VENOUS - ONE LIMB
Radiologists|DOPPLER BOTH LIMBS ARTERIAL
Radiologists|DOPPLER BOTH LIMBS VENOUS
Radiologists|DOPPLER BOTH LIMS ARTERIAL/VENOUS (ONE STUDY)
Radiologists|DOPPLER BOTH LOWER LIMBS ARTERIAL & VENOUS
Radiologists|DOPPLER BOTH UPPER LIMBS ARTERIAL & VENOUS
Radiologists|DOPPLER CAROTID
Radiologists|DOPPLER OBSTETRIC
Radiologists|DOPPLER OBSTETRIC WITH BPP
Radiologists|DOPPLER PELVIC
Radiologists|DOPPLER PENILE
Radiologists|DOPPLER PERIPHERAL ARTERIAL
Radiologists|DOPPLER PERIPHERAL VENOUS
Radiologists|DOPPLER RENAL
Radiologists|DOPPLER SCROTAL
Radiologists|DOPPLER SINGLE LIMB ARTERIAL & VENOUS
Radiologists|DOPPLER SMALL PARTS
Radiologists|Doppler TVS (Trans Vaginal SonogrAPhy)
Radiologists|MRI ABDOMEN - CONTRAST
Radiologists|MRI ABDOMEN - W/O CONTRAST
Radiologists|MRI Acromioclavicular joint
Radiologists|MRI ANGIOGRAPHY BOTH LOWER LIMB
Radiologists|MRI ANGIOGRAPHY BOTH LOWER LIMB WITH CONTRAST
Radiologists|MRI ANGIOGRAPHY - CONTRAST
Radiologists|MRI ANGIOGRAPHY - W/O CONTRAST
Radiologists|MRI ANGIOGRAPHY BOTH LIMBS
Radiologists|MRI ANGIOGRAPHY BRAIN
Radiologists|MRI ANGIOGRAPHY BRAIN + NECK
Radiologists|MRI ANGIOGRAPHY BRAIN WITH CONTRAST
Radiologists|MRI ANGIOGRAPHY FOR THORAX WITH CONTRAST
Radiologists|MRI ANGIOGRAPHY NECK VESSELS
Radiologists|MRI ANGIOGRAPHY NECK VESSELS WITH CONTRAST
Radiologists|MRI ANKEL BOTH JOINTS - CONTRAST
Radiologists|MRI ANKEL BOTH JOINTS - W/O CONTRAST
Radiologists|MRI ANKLE JOINT
Radiologists|MRI ANKLE SINGLE JOINT - CONTRAST
Radiologists|MRI ANKLE SINGLE JOINT - W/O CONTRAST
Radiologists|MRI ARTHROGRAM
Radiologists|MRI BILATERAL T. M. JOINT
Radiologists|MRI BOTH HIP
Radiologists|MRI BOTH KNEE CARTIGRAM
Radiologists|MRI BOTH S. I. JOINTS
Radiologists|MRI BRACHIAL PLEXUS
Radiologists|MRI BRAIN / HEAD
Radiologists|MRI BRAIN AND FACE
Radiologists|MRI BRAIN WITH CISS SEQUENCE
Radiologists|MRI BRAIN WITH CISTERNOGRAPHY
Radiologists|MRI BRAIN WITH CP ANGLE
Radiologists|MRI BRAIN WITH CSF FLOW STUDY
Radiologists|MRI BRAIN WITH DIFFUSION
Radiologists|MRI BRAIN WITH EPILEPSY PROTOCOL
Radiologists|MRI BRAIN WITH INNER EAR (3D COCHLEA)
Radiologists|MRI BRAIN WITH ORBIT
Radiologists|MRI BRAIN WITH PERFUSION WITH CONTRAST
Radiologists|MRI BRAIN WITH PITUTARY WITH CONTRAST
Radiologists|MRI BRAIN WITH SPECTROSCOPY
Radiologists|MRI BRAIN WITH VENOGRAPHY
Radiologists|MRI BREAST - CONTRAST
Radiologists|MRI BREAST - W/O CONTRAST
Radiologists|MRI CERVICAL SPINE
Radiologists|MRI CERVICAL SPINE - CONTRAST
Radiologists|MRI CERVICO & DORSAL SPINE
Radiologists|MRI CHEST
Radiologists|MRI CISTERNOGRPAHY
Radiologists|MRI CV JUNCTION
Radiologists|MRI DORSAL SPINE
Radiologists|MRI DORSAL SPINE - CONTRAST
Radiologists|MRI DORSAL SPINE - W/O CONTRAST
Radiologists|MRI DORSO LUMBER SPINE W/O CONTRAST
Radiologists|MRI DORSO-LUMBER SPINE
Radiologists|MRI DYNAMIC CONTRAST STUDY LIVER / PANCREAS WITH CONTRAST
Radiologists|MRI DYNAMIC CONTRAST STUDY PITUTARY WITH CONTRAST
Radiologists|MRI ELBOW JOINT
